Year,County,Site Name,X,Y
2017,Towner,Nikolaisen WPA,-99.225514,48.593681
2017,Mercer,North Beulah Mine WMA,-101.768465,47.305609
2017,Stutsman,Northwestern Lake WPA,-99.194762,47.217251
2017,McKenzie,Ochs Point WMA,-103.972248,47.955661
2017,Oliver,OLI-141-085-16,-101.467842,47.028002
2017,Oliver,OLI-143-082-16,-101.085543,47.204106
2017,Barnes,Olson WMA,-98.073244,46.659421
2017,Grant,Otter Creek WMA,-101.313265,46.54781
2017,Steele,Otto Spies WMA,-97.599323,47.289063
2017,Pembina,Pembina Prairie WPA,-97.277625,48.787828
2017,Kidder,Personius WPA,-99.74222,47.038139
2017,Ramsey,Pintail WPA,-98.89214,48.462722
2017,Grand Forks,Prairie Chicken WMA,-97.314725,48.134671
2017,Ransom,RAN-Sheyenne NG 1,-97.38058,46.35765
2017,Burleigh,Rath/Wonnenburg WPA,-100.213645,47.198158
2017,Renville,REN-164-084-36,-101.515778,48.984273
2017,Renville,REN-Upper Souris NWR 1,-101.755177,48.741463
2017,Renville,REN-Upper Souris NWR 2,-101.568326,48.463357
2017,Richland,RIC-Sheyenne NG 1,-97.24568,46.494841
2017,McHenry,Rieder WPA,-100.944124,48.261401
2017,Rolette,ROL-162-072-36,-99.926416,48.819053
2017,Sheridan,Rolling Hills WMA,-100.11705,47.367125
2017,Nelson,Rose Lake WPA,-98.454718,47.997199
2017,Pierce,Round Lake WPA,-100.206827,48.464642
2017,Burleigh,RW Henderson WMA,-100.603733,46.829509
2017,Emmons,Schiermeister WPA,-100.498669,46.384451
2017,Steele,Shaw WPA 1,-97.652653,47.600295
2017,Sioux,SIO-130-085-36,-101.255183,46.044503
2017,Sioux,SIO-Cedar River NG 1,-101.804633,45.997043
2017,Slope,SLO-135-106-16,-104.008668,46.51138
2017,Slope,SLO-Little Missouri NG 1,-103.465067,46.481505
2017,Divide,Soo Grade WPA,-103.086317,48.905122
2017,Williams,Spangrud WPA,-102.917872,48.611436
2017,Stark,STA-137-091-16,-102.178085,46.688424
2017,Stark,STA-140-094-16,-102.558015,46.946939
2017,Barnes,Stoney Slough WPA,-98.152854,46.724638
2017,Stutsman,STU-137-063-36,-98.583625,46.633593
2017,Sargent,Tewaukon NWR,-97.423001,46.012127
2017,Traill,Thompson WPA,-97.472767,47.387143
2017,Towner,Towner WPA,-99.290723,48.896664
2017,Benson,Twin Lakes WPA,-99.626485,48.244537
2017,Cavalier,Ullyot WPA,-98.291707,48.817296
2017,Eddy,Wallace WPA,-98.574467,47.622683
2017,Ward,WAR-Upper Souris NWR,-101.586701,48.439912
2017,Wells,WEL-149-069-36,-99.436155,47.687291
2017,Cavalier,Wengeler WPA,-98.825295,48.599341
2017,Benson,White Horse Hill NWR,-99.000219,47.970148
2017,Williams,WIL-156-100-16,-103.54953,48.332
2017,Oliver,Wilbur Boldt WMA,-101.178173,47.079565
2017,Richland,Wild Rice WMA,-97.184783,46.098151
2018,Adams,ADA-130-092-36,-102.137853,46.045106
2018,Grand Forks,Agnes Marsh WPA,-97.727203,48.085107
2018,Cass,Alice WPA 2,-97.496754,46.758642
2018,Towner,Berg West,-99.346721,48.875484
2018,Billings,BIL-144-099-36,-103.168682,47.245237
2018,Cavalier,Billings Lake WPA,-98.495715,48.615533
2018,Billings,BIL-Little Missouri NG 2,-103.28991,46.770176
2018,Oliver,Bittner,-101.22227,47.107732
2018,Adams,Blaha EZ Encha,-102.782409,46.226521
2018,Dickey,Bluestem Prairie WMA,-98.510082,46.073485
2018,Barnes,Boom,-98.340528,46.710803
2018,Bottineau,BOT-164-083-36,-101.36947,48.992097
2018,Bottineau,BOT-JCS NWR 1,-100.949023,48.863089
2018,Bottineau,BOT-JCS NWR 3,-100.85729,48.754193
2018,Bowman,BOW-131-105-36,-103.761774,46.13274
2018,Burke,BRK-162-094-36,-102.822578,48.820962
2018,Burke,BRK-Des Lacs NWR 2,-102.150799,48.95852
2018,Burke,BRK-Lostwood NWR 2,-102.425144,48.67249
2018,Burleigh,BRL-141-078-16,-100.572737,47.036332
2018,Stutsman,Buegel,-98.672739,47.051145
2018,Dickey,Burkhardt,-98.241454,46.005101
2018,McLean,Coal Coulee WPA,-101.055579,47.446438
2018,Sargent,Cooper,-97.824224,45.986456
2018,Burleigh,Cutting,-100.834542,47.149592
2018,Adams,Dayton,-102.162427,46.079933
2018,Benson,Deep Valley WPA,-99.625626,48.121698
2018,McLean,deTrobrian WMA,-101.370789,47.60744
2018,Eddy,EDD-150-065-24,-98.925603,47.801788
2018,Traill,Elken WPA,-97.448367,47.375039
2018,Stark,Emch,-103.116833,46.77101
2018,Nelson,Engen,-98.503875,47.914023
2018,Traill,Erickson WPA,-97.442242,47.342531
2018,Cass,Erie Dam WMA,-97.42942,47.099056
2018,Walsh,Fairdale WPA,-98.235814,48.514394
2018,McIntosh,Fiechtner,-99.419173,46.2788
2018,Pembina,Fitzsimond Slough WMA,-97.789134,48.94874
2018,Foster,FOS-147-062-26,-98.525493,47.518368
2018,Grant,Gaugler North,-101.928558,46.173933
2018,Grant,Gaugler South,-101.901032,46.137613
2018,Slope,Gerbig,-103.434265,46.554684
2018,Grand Forks,GFO-Sproule South,-97.130345,47.964313
2018,Golden Valley,GOL-140-104-36,-103.742326,46.896282
2018,Mercer,Golden Valley WMA,-102.055495,47.423323
2018,Golden Valley,GOL-Little Missouri NG 1,-103.659414,46.968255
2018,Sheridan,Goodrich WPA,-100.057714,47.462031
2018,Grant,GRA-137-088-16,-101.800031,46.680729
2018,Morton,Graner Bottoms WMA,-100.709717,46.652197
2018,Griggs,GRI-148-061-16,-98.451647,47.637272
2018,Logan,Grohne WPA,-99.076121,46.286042
2018,Foster,Gussiaas,-99.057922,47.499749
