Code,Scientific Name,Common Name,
LONMAA,Lonicera maackii,Amur honeysuckle,
LONMAC,,Lonicera maackii,
LONTAT,,Lonicera tatarica,Tatarian honeysuckle
LOTCOR,Lotus corniculatus,Birds-foot trefoil,
LOTPUR,Lotus purshianus,American birds-food trefoil,
LUPARG,Lupinus argenteus,Silvery lupine,
LUPPUS,,Lupinus pusillus,Low lupine
LYCAME,Lycopus americanus,American water horehound,
LYCASP,Lycopus asper,Rough bugleweed,
Lycopus sp.,Lycopus,Bugleweeds / Water horehounds,
LYCPHL,Lycaena phlaeas,American copper,
LYCUNI,Lycopus uniflorus,Northern bugleweed,
LYGJUN,Lygodesmia juncea,Skeletonweed,
LYSCIL,Lysimachia ciliata,Fringed loosestrife,
LYSHYB,Lygodesmia juncea,Skeletonweed,
LYSQUA,Lysimachia quadriflora,Prairie loosestrife,
LYTALA,Lythrum alatum,Winged loosestrife,
MACPIN,Machaeranthera pinnatifida,Cut-leaf ironplant,
MAISTE,,Maianthemum stellatum,Starry false Solomon's seal
MAITRI,Maianthemum trifolium,Three-leaf false lily of the valley,
MATCHA,Matricaria chamomilla,German chamomile,
MEDFAL,Medicago falcata,Yellow alfalfa,
MEDLUP,Medicago lupulina,Black medic,
MEDSAT,Medicago sativa,Alfalfa (purple/blue/white),
MELALB,Melilotus alba,White sweet clover,
MELOFF,Melilotus officinalis,Yellow sweet clover,
MENARV,Mentha arvensis,Wild mint,
MENDEC,Mentzelia decapetala,Ten petal blazing star,
MERLAN,Mertensia lanceolata,Prairie bluebells,
MEROBL,Mertensia oblongifolia,Oblongleaf bluebells,
MIMRIN,,Mimulus ringens,Allegheny monkeyflower
MIRALB,Mirabilis albida,Hairy four o-clock,
MIRLIN,Mirabilis linearis,Narrowleaf four o'clock,
MIRNYC,Mirabilis nyctaginea,Wild four o'clock,
MOELAT,Moehringia lateriflora,Bluntleaf sandwort,
MONFIS,Monarda fistulosa,Wild bergamot; Bee balm,
MULOLB,,Muhlenbergia oligosperma,
MUSDIV,,Muhlenbergia divergens,
NEPCAT,Nepeta cataria,Catnip,
NOTCUS,,Nototrichium cuspidatum,
OENBIE,Oenothera biennis,Common evening primrose,
OENNUT,Oenothera nuttallii,Nuttall's evening primrose,
Oenothera sp.,Oenothera,Evening primroses,
OENPAL,Oenothera pallida,Pale evening primrose,
OENPAR,Oenothera parviflora,Northern evening primrose,
OENSER,,Oenothera serrulata,Toothed evening primrose
OENSUF,,Oenothera suffrutescens,Suffrutescent evening primrose
OENVIL,Oenothera villosa,Hairy evening primrose,
ONOBEJ,,Onosmodium bejariense,False gromwell
ONOMOL,Onosmodium molle,False gromwell,
OPUFRA,Opuntia fragilis,Fragile prickly pear cactus,
OPUPOL,,Opuntia polyacantha,Plains pricklypear
OROFAS,,Orobanche fasciculata,Clustered broomrape
ORTLUT,Orthocarpus luteus,Yellow owl-clover,
OXADIL,Oxalis dillenii,Dillen's yellow wood sorrel,
OXASTR,Oxalis stricta,Yellow wood sorrel,
OXAVIO,Oxalis violacea,Violet wood sorrel,
OXYCAM,Oxytropis campestris,Field locoweed,
