Code,Scientific Name,Common Name,
BRIEUP,Brickellia eupatorioides,False boneset,
CALNUT,Calochortus nuttallii,Sego-lily,
CALPAL,,Callirhoe palmata,Palmate poppy mallow
CALSEP,Calystegia sepium,Hedge bindweed,
CALSER,Calylophus serrulatus,Yellow sundrops,
CALSPI,,Callirhoe spicata,Meadow poppy mallow
CAMMIC,Camelina microcarpa,Littlepod false flax,
CAMROT,Campanula rotundifolia,Harebell,
CANMOD,Canadanthus modestus,Modest aster,
CARACA,Carduus acanthoides,Plumeless thistle,
CARARB,Caragana arborescens,Siberian peashrub,
CARNUT,Carduus nutans,Nodding thistle,
CASSES,,Castilleja sessiliflora,Downy paintbrush
CERARV,Cerastium arvense,Field chickweed,
CERBRA,Cerastium brachypodum,Short-stalked chickweed,
CHAERE,Chamaerhodos erecta,Nuttall's groundrose,
CHEALB,Chenopodium album,White goosefoot,
CHEDES,Chenopodium desiccatum,Aridland goosefoot,
CHEPRA,,Chemis(?) pratensis,
CHERUB,Chenopodium rubrum,Red goosefoot,
CICMAC,Cicuta maculata,Water hemlock,
CIRALT,Cirsium altissimum,Tall thistle,
CIRARV,Cirsium arvense,Canada thistle,
CIRFLO,Cirsium flodmanii,Flodman's thistle,
CIRUND,Cirsium undulatum,Wavyleaf thistle,
CIRVUL,Cirsium vulgare,Bull thistle,
CLESER,,Clematis serratifolia,Sawleaf clematis
COLLIN,Collomia linearis,Tiny trumpet,
COlPHI,Colias philodice,Clouded Sulphur,
COMUMB,Comandra umbellata,Bastard toadflax,
CONARV,Convolvulus arvensis,Field bindweed,
CONCAN,Conyza canadensis,Horseweed,
CORSER,Cornus sericea,Red-osier dogwood,
CORTIN,Coreopsis tinctoria,Golden tickseed,
CORVAR,Coronilla varia,Crown vetch,
CRACHR,,Crataegus chrysocarpa,Fireberry hawthorn
CRECAP,Crepis capillaris,Smooth hawksbeard,
CRERUN,Crepis runcinata,Fiddleleaf hawksbeard,
CRETEC,Crepis tectorum,Narrow leaf hawksbeard,
CRYCEL,,Cryptantha celosioides,Popcornflower
CYNOFF,Cynoglossum officinale,Gypsy flower,
CYPCAN,Cypripedium candidum,Small white lady's slipper,
CYPPAR,,Cypripedium parviflorum,Yellow lady's slipper
CYPPARM,Cypripedium parviflorum var. makasin,Small yellow lady's slipper,
